epoch,validity,clean_validity,uniqueness,novelty,QED,SA
216,0.65,0.448,0.0862,0.8646,0.4607,3.1342
217,0.698,0.398,0.1347,0.808,0.4698,3.2844
218,0.722,0.432,0.1025,0.615,0.4747,2.7688
219,0.666,0.332,0.0901,0.8889,0.453,3.2064
220,0.532,0.298,0.1128,0.9887,0.4412,3.4741
221,0.736,0.562,0.1005,1.0,0.4564,3.8767
222,0.736,0.498,0.1005,0.8696,0.4597,3.5599
223,0.684,0.55,0.117,0.8772,0.4603,3.5693
224,0.736,0.554,0.0924,0.9103,0.4746,3.3219
225,0.694,0.552,0.0893,0.9308,0.4751,3.3195
226,0.648,0.492,0.1265,0.9352,0.4641,3.4632
227,0.576,0.38,0.1319,0.941,0.463,3.2667
228,0.606,0.482,0.1386,0.7822,0.4874,3.0162
229,0.634,0.568,0.1104,0.6656,0.4731,2.9416
230,0.636,0.532,0.1164,0.6635,0.4569,3.254
231,0.724,0.578,0.1133,0.6657,0.4622,2.9362
232,0.794,0.692,0.1058,0.7154,0.4485,3.07
233,0.638,0.54,0.1223,0.6834,0.4376,3.3684
234,0.728,0.608,0.1099,0.8462,0.4544,3.2737
235,0.622,0.534,0.1158,0.8135,0.453,3.332
236,0.706,0.576,0.1105,0.9547,0.4652,3.5862
237,0.666,0.52,0.1021,0.964,0.4905,3.3852
238,0.678,0.49,0.115,0.9322,0.4806,3.2312
239,0.688,0.542,0.0988,0.7733,0.4928,2.9455
240,0.652,0.482,0.0828,0.8221,0.4926,2.9325
241,0.68,0.5,0.0912,0.8471,0.4841,2.9165
242,0.724,0.488,0.0856,0.6519,0.4761,2.7964
243,0.694,0.582,0.0922,0.7032,0.4696,2.824
244,0.436,0.33,0.1009,0.8899,0.4602,2.991
245,0.42,0.268,0.0905,0.8714,0.4693,2.7078
246,0.674,0.354,0.0712,0.8071,0.4982,2.6906
247,0.684,0.406,0.0789,0.6608,0.4738,2.6954
248,0.68,0.44,0.0824,0.7176,0.4743,2.6644
249,0.642,0.27,0.0841,0.7944,0.4788,2.7039
250,0.65,0.312,0.0954,0.72,0.4757,2.6764
251,0.568,0.326,0.0986,0.7852,0.4634,3.0952
252,0.742,0.45,0.097,0.6199,0.474,2.9355
253,0.846,0.532,0.1111,0.5816,0.493,2.761
254,0.846,0.554,0.0898,0.6596,0.4919,2.6312
255,0.88,0.586,0.075,0.6386,0.4757,2.6833
256,0.812,0.476,0.0911,0.8645,0.4684,3.0377
257,0.668,0.336,0.1198,0.8982,0.4441,2.8597
258,0.682,0.366,0.0997,0.8915,0.4538,2.6863
259,0.64,0.382,0.1156,0.8625,0.4777,2.7656
260,0.688,0.418,0.1017,0.8866,0.4828,2.7284
261,0.69,0.318,0.142,0.9449,0.4672,2.7308
262,0.726,0.318,0.1377,0.9504,0.4392,2.953
263,0.67,0.374,0.1373,0.9313,0.4197,3.0534
264,0.8,0.53,0.125,0.8025,0.4547,3.0563
265,0.704,0.532,0.1392,0.8892,0.4629,2.9922
266,0.666,0.498,0.1381,0.973,0.4592,3.4578
267,0.66,0.464,0.1303,0.7879,0.4845,3.024
268,0.672,0.31,0.119,0.8363,0.4617,2.7547
269,0.692,0.392,0.1358,0.8584,0.4624,3.1016
270,0.704,0.464,0.1108,0.7443,0.469,2.8472
271,0.656,0.534,0.1067,0.7165,0.477,2.8539
272,0.606,0.536,0.1089,0.8218,0.4766,3.0683
273,0.644,0.55,0.1304,0.8851,0.4642,3.0076
274,0.59,0.504,0.122,0.9593,0.4525,3.1055
275,0.556,0.39,0.1511,0.9388,0.4653,3.0163
276,0.582,0.444,0.1134,0.8454,0.4672,2.9602
277,0.642,0.48,0.1277,0.8723,0.4589,3.3489
278,0.662,0.36,0.1299,0.9547,0.4649,3.1367
279,0.612,0.28,0.1176,0.9706,0.4663,2.7282
280,0.652,0.338,0.0982,0.9816,0.4575,2.785
281,0.622,0.338,0.119,0.9968,0.466,2.9697
282,0.538,0.246,0.1115,1.0,0.4846,2.7557
283,0.674,0.292,0.1039,0.997,0.4768,2.7919
284,0.638,0.278,0.0972,1.0,0.4741,2.83
